title,author,rating,reviews,price,book_link,date
Sapiens (L): THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,4.7 out of 5 stars,114053,369.00,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Nursery Rhymes Board Book (My First Book Series): Illustrated Classic Nursery Rhymes,Wonder House Books,4.6 out of 5 stars,3653,169.00,https://www.amazon.in/Nursery-Rhymes-Board-Book-First/dp/9388144201/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Grandparents' Bag of Stories [Paperback] Sudha Murty,,4.7 out of 5 stars,Sudha Murty,153.00,https://www.amazon.in/Grandparents-Bag-Stories-Sudha-Murty/dp/0143451847/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1,2023-06-12 11:05:15
R D Sharma Mathematics Class 9 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5 out of 5 stars,1523,530.00,https://www.amazon.in/Mathematics-Class-Sharma-Examination-2022-23/dp/B09SJ5TZZ4/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1,2023-06-12 11:05:15
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,133634,325.00,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1,2023-06-12 11:05:15
"All-Time Favourites for Children: Classic Collection of 25+ most-loved, great stories by famous award-winning author (Illustrated, must-read fiction short stories for kids)",Ruskin Bond,4.6 out of 5 stars,1515,162.00,https://www.amazon.in/All-Time-Favourites-Children-award-winning-Illustrated/dp/0143451936/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1,2023-06-12 11:05:15
The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4 out of 5 stars,3523,99.00,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1,2023-06-12 11:05:15
My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,Wonder House Books,4.3 out of 5 stars,4772,169.00,https://www.amazon.in/First-Alphabet-Numbers-Colours-Shapes/dp/9387779564/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1,2023-06-12 11:05:15
"Power of your Subconscious Min: A personal transformation and development book, understanding human psychology and thinking by Dr Joseph Murphy",,4.5 out of 5 stars,Dr Joseph Murphy,98.00,https://www.amazon.in/Power-Subconscious-Premium-Paperback-Penguin/dp/0143453602/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Concept of Physics by H.C Verma Part - II - Session 2022-23,H.C. Verma,4.6 out of 5 stars,10085,330.00,https://www.amazon.in/Concept-Physics-Part-2-2018-2019-Session/dp/8177092324/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Interact in English Main Course Book (MCB) + Literature Reader + Workbook - A textbook for English course (Communicative) For CBSE Class 9 | For NCERT with EXAM360 Brand Sticker & Packaging,,4.4 out of 5 stars,EXAM360,324.00,https://www.amazon.in/Interact-English-Course-Literature-Workbook/dp/B0B2KQHPP2/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1,2023-06-12 11:05:15
R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5 out of 5 stars,2530,450.00,https://www.amazon.in/Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Verity,Colleen Hoover,4.3 out of 5 stars,226395,235.00,https://www.amazon.in/Verity-thriller-that-capture-heart/dp/1408726602/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1,2023-06-12 11:05:15
"BRAIN GAMES FOR CLEVER KIDS [Paperback] Moore, Gareth",,4.3 out of 5 stars,Gareth Moore,139.00,https://www.amazon.in/Brain-Games-Clever-Kids-Buster/dp/1780552491/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1,2023-06-12 11:05:15
